example_id,query,gold_intent,predicted_intent,classifier_confidence,retrieval_similarity,gold_resolution,gold_escalation,agent_action,decision_reason,response,grounded,needs_escalation
1,<USER> Thnx. Mostly listen on iPhone. You used to be able to do that on the iOS app right? No more? :(,FEATURE_REQUEST,FEATURE_REQUEST,0.2191260541435409,0.24045139450069483,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
2,<USER> <USER> <USER> Thank you!😊Lots of #Roku users really love #Spotify but it's so frustrating that an important feature like playlists is missing atm!😔#RokuUK,PLAYLIST_LIBRARY,PLAYLIST_LIBRARY,0.32667041825409915,0.2979943786506053,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
3,<USER> Useless.,OTHER,OTHER,0.14090148145380088,0.0,UNCLEAR,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
4,<USER> Thank you so much. I really appreciated a such beautiful playlist. It was so fantastic and kind from you all. Have a nice week 👌👍,OTHER,OTHER,0.29334381240086427,0.21088468360864138,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
5,<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3,APP_TECHNICAL,APP_TECHNICAL,0.19098894624607315,0.15796078958030935,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
6,"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7",APP_TECHNICAL,APP_TECHNICAL,0.18279784482591818,0.2774752196450377,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
7,"<USER> thanks, but the vote button says ""sorry you can't like this post"" ? and it's under consideration since 10 months back?",FEATURE_REQUEST,FEATURE_REQUEST,0.223192829414933,0.12550716071750057,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
8,<USER> Sent you guys a DM.,OTHER,OTHER,0.32733578335943614,0.3283714238552847,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
9,"<USER> okay cool, thank you!",OTHER,OTHER,0.3708471743131468,0.23385544939206657,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
10,<USER> Haha! Tnx!,OTHER,OTHER,0.14090148145380088,0.0,UNCLEAR,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
